company_name,phone,phone_normalized,website,source
ვიკონ გრუპი,+995 551 55 55 11,+995551555511,https://vikon.ge,yell.ge
იმპოსტი,224 04 24,+995322240424,http://www.imposti.ge,yell.ge
იმპოსტი,(571) 205 305,+995571205305,http://www.imposti.ge,yell.ge
ბაკო,264 54 54,+995322645454,http://www.bako.ge,yell.ge
ბაკო,(555) 74 54 54,+995555745454,http://www.bako.ge,yell.ge
მეტტა,032 2 880 440,+995322880440,http://www.metta.ge,yell.ge
შპს ჯეოდიზაინ&ქონსთრაქშენ,(032) 247 73 44,+995322477344,http://www.gdcbureau.ge,yell.ge
შპს ჯეოდიზაინ&ქონსთრაქშენ,(596) 655 655,+995596655655,http://www.gdcbureau.ge,yell.ge
ახალი სახლი,(595) 04 41 11,+995595044111,https://akhalisakhli.com,yell.ge
ჰაუსლაინი,(595) 60 00 05,+995595600005,http://www.houseline.ge,yell.ge
ჰაუსლაინი,(592) 52 26 26,+995592522626,http://www.houseline.ge,yell.ge
სამშენებლო კომპანია - ბარი დეველოპმენტი,(595) 40 70 90,+995595407090,http://www.bari.ge,yell.ge
სამშენებლო კომპანია - ბარი დეველოპმენტი,(593) 46 99 50,+995593469950,http://www.bari.ge,yell.ge
გრუსია,236 72 22,+995322367222,http://www.grusia.ge,yell.ge
გრუსია,236 04 65,+995322360465,http://www.grusia.ge,yell.ge
სამშენებლო კომპანია მეგობრობა,(032) 262 21 22,+995322622122,http://www.megobroba.ge,yell.ge
სამშენებლო დეველოპერული კომპანია აისი,(599) 56 83 73,+995599568373,http://www.aisigroup.ge,yell.ge
ბალავარი,2560 560,+995322560560,http://www.balavari.ge,yell.ge
ბალავარი,(591) 711 000,+995591711000,http://www.balavari.ge,yell.ge
ბალავარი,(511) 11 11 45,+995511111145,http://www.balavari.ge,yell.ge
ას ჯორჯია,274 04 04,+995322740404,http://www.asgeorgia.ge,yell.ge
მონოლით ჯგუფი,230 99 77,+995322309977,https://monolith.ge,yell.ge
მონოლით ჯგუფი,(595) 99 77 00,+995595997700,https://monolith.ge,yell.ge
ურბანა,(557) 55 77 55,+995557557755,http://www.urbana.ge,yell.ge
არკონი,218 21 88,+995322182188,http://arcon.ge,yell.ge
არკონი,(597) 92 51 92,+995597925192,http://arcon.ge,yell.ge
მირა,032 235 60 01,+995322356001,https://www.mira.ge,yell.ge
მირა,(598) 35 60 01,+995598356001,https://www.mira.ge,yell.ge
