priority,score,company_name,phone,phone_normalized,website,facebook,source,signals
A,10,თეგიმი,(555) 20 20 20,+995555202020,,https://www.facebook.com/tegimi2,yell.ge,has_facebook; fb_posted_recently; multi_source; 3_phones; has_mobile
A,10,თეგიმი,(558) 20 20 20,+995558202020,,https://www.facebook.com/tegimi2,yell.ge,has_facebook; fb_posted_recently; multi_source; 3_phones; has_mobile
A,10,თეგიმი,+995551440099,+995551440099,,https://www.facebook.com/tegimi2,bia.ge,has_facebook; fb_posted_recently; multi_source; 3_phones; has_mobile
A,9,ბაკო,264 54 54,+995322645454,http://www.bako.ge,http://www.facebook.com/www.bako.ge,yell.ge,website_live; has_facebook; multi_source; 3_phones; has_mobile; has_landline
A,9,ბაკო,(555) 74 54 54,+995555745454,http://www.bako.ge,http://www.facebook.com/www.bako.ge,yell.ge,website_live; has_facebook; multi_source; 3_phones; has_mobile; has_landline
A,9,ბაკო,+995593321227,+995593321227,http://www.bako.ge,http://www.facebook.com/www.bako.ge,bia.ge,website_live; has_facebook; multi_source; 3_phones; has_mobile; has_landline
A,9,კრაფტი,+995595558383,+995595558383,,https://www.facebook.com/geokraft,bia.ge,has_facebook; fb_posted_recently; fb_1441_likes; 2_phones; has_mobile
A,9,კრაფტი,+995591071427,+995591071427,,https://www.facebook.com/geokraft,bia.ge,has_facebook; fb_posted_recently; fb_1441_likes; 2_phones; has_mobile
A,9,მოზაიკ დეველოპმენტი,+995555886000,+995555886000,,https://www.facebook.com/mosaic.ge,bia.ge,has_facebook; fb_posted_recently; 2_phones; has_mobile; has_landline
A,9,მოზაიკ დეველოპმენტი,+995322111121,+995322111121,,https://www.facebook.com/mosaic.ge,bia.ge,has_facebook; fb_posted_recently; 2_phones; has_mobile; has_landline
A,8,ახალი სახლი,(595) 04 41 11,+995595044111,https://akhalisakhli.com,https://www.facebook.com/AkhaliSakhliCom,yell.ge,website_live; has_facebook; multi_source; 2_phones; has_mobile
A,8,ახალი სახლი,+995551351111,+995551351111,https://akhalisakhli.com,https://www.facebook.com/AkhaliSakhliCom,bia.ge,website_live; has_facebook; multi_source; 2_phones; has_mobile
A,8,ბალავარი,2560 560,+995322560560,http://www.balavari.ge,,yell.ge,website_live; multi_source; 7_phones; has_mobile; has_landline
A,8,ბალავარი,(591) 711 000,+995591711000,http://www.balavari.ge,,yell.ge,website_live; multi_source; 7_phones; has_mobile; has_landline
A,8,ბალავარი,(511) 11 11 45,+995511111145,http://www.balavari.ge,,yell.ge,website_live; multi_source; 7_phones; has_mobile; has_landline
A,8,ბალავარი,+995598621818,+995598621818,http://www.balavari.ge,,bia.ge,website_live; multi_source; 7_phones; has_mobile; has_landline
