company_name,gmaps_rating,gmaps_reviews,gmaps_status,gmaps_category
თეგიმი,5.0,0,open,უძრავი ქონების დეველოპერი
ბაკო,5.0,0,found,სამშენებლო კომპანია
კრაფტი,5.0,0,open,
მოზაიკ დეველოპმენტი,5.0,0,open,
ახალი სახლი,5.0,0,found,
ბალავარი,5.0,4,found,
ას ჯორჯია,5.0,0,open,
დაიმონდ პროჯექტს,5.0,0,open,სამშენებლო კომპანია
აზიმუტი,5.0,3,found,
ქ გრუპი,5.0,0,open,სამშენებლო კომპანია
დომუს ჯგუფი,4.8,0,found,
ბათუმი დეველოპმენტ ალიანსი,4.7,0,found,
იქს ლაინ,5.0,0,open,სამშენებლო კომპანია
სერვის ნეტ გრუპი,4.3,0,open,
ექს სითი,5.0,0,open,უძრავი ქონების დეველოპერი
სინერჯი ქონსთრაქშინ,4.0,0,found,სამშენებლო კომპანია
ბილდინგ ჰაუს,5.0,0,found,სამშენებლო კომპანია
ინდეკო სი ემ,5.0,0,open,
კიკეთის სამშენებლო კომპანია,5.0,0,open,სამშენებლო კომპანია
იმპოსტი,,0,not_found,
მონოლით ჯგუფი,5.0,0,found,
არკონი,5.0,0,found,უძრავი ქონების დეველოპერი
მირა,3.0,1,found,
ისანი ბილდინგი,4.3,3,found,
კ ჯგუფი,5.0,0,open,სამშენებლო კომპანია
სპეცკომფორტი,5.0,3,found,
სოლო დეველოპმენტი,4.8,5,found,
გრინჰილ რეზიდენსი,4.8,0,open,
აიდისი,5.0,0,found,
იუნიქს დეველოპმენტი,5.0,7,found,
პრაიმ ბეტონი,5.0,0,found,სამშენებლო კომპანია
ელემენტ კონსტრაქშენი,5.0,32,found,
დონა გრუპ,5.0,0,open,
სამშენებლო კომპანია აპექს დეველოპმენტი,2.3,3,found,
ანაგი დეველოპმენტი 1,4.8,29,found,
ლგ გრუპი,4.6,0,open,
ქრიათივ იმფრეშენს კავკასუს,5.0,0,found,სამშენებლო კომპანია
ენენ ჯგუფი,5.0,1,found,
კანო,5.0,0,open,
რუმბოქსი,5.0,0,open,სამშენებლო კომპანია
სოლუმ დეველოპმენტი,5.0,3,found,
ბაუმ კონსთრაქშენ,5.0,0,open,სამშენებლო კომპანია
ორიონ ჯგუფი,,0,not_found,
აზერტუნელი–ს ფილიალი საქართველოში,5.0,0,open,
გუმბათი ჯგუფი,5.0,1,found,
მზიური დეველოპმენტ,,0,open,უძრავი ქონების დეველოპერი
ას კონსტრაქშენ,5.0,0,open,სამშენებლო კომპანია
დიეს ვაით ლაინი,4.0,0,open,უძრავი ქონების დეველოპერი
ლისი ტოპოგრაფ მენეჯმენტი,5.0,8,found,
რუფ დეველოპერი,5.0,0,found,სამშენებლო კომპანია
გრადა,4.5,12,found,
ნოსტრა,5.0,0,found,
Technical Solution,5.0,0,open,სამშენებლო კომპანია
დეკა დეველოპმენტ,5.0,0,open,უძრავი ქონების დეველოპერი
აა3,5.0,0,found,
მეგა სითი,5.0,0,open,სამშენებლო კომპანია
ემ. ეს. ჯი. 7,4.1,0,open,
ლუჩო,5.0,0,open,სამშენებლო კომპანია
ტოპლაინ სისაიდ,4.6,121,found,
ჰაუსლაინი,5.0,0,open,
სამშენებლო კომპანია - ბარი დეველოპმენტი,5.0,0,found,სამშენებლო კომპანია
დაგი,4.7,3,found,
იუ ბი სი,5.0,0,open,
გალაქსი კონსტრაქშენ,5.0,0,found,სამშენებლო კომპანია
ვერტიკალ გრუპი,5.0,0,open,
ეკობინა,5.0,0,found,სამშენებლო კომპანია
ზმკ - ZMK,4.3,3,found,
გოდოლი,5.0,0,open,სამშენებლო კომპანია
ნდს მშენებლობა,5.0,0,found,სამშენებლო კომპანია
ინ-სი,5.0,0,open,
ბლექ სი გრუპი,4.9,0,open,უძრავი ქონების დეველოპერი
სამშენებლო ლაბორატორია,5.0,0,open,სამშენებლო კომპანია
ბიჰაუსი,5.0,0,open,
M B G. LTD,5.0,0,open,სამშენებლო კომპანია
არქ–დეკო,5.0,0,open,სამშენებლო კომპანია
ბათმშენი,5.0,0,open,სამშენებლო კომპანია
გზა,5.0,0,found,
გრინლაიფ – Greenlife,4.0,0,open,უძრავი ქონების დეველოპერი
კალციტი,5.0,0,found,სამშენებლო კომპანია
მარდი,5.0,0,open,სამშენებლო კომპანია
ნუროლ ინშაათ ვე თიჯარეთის წარმომადგენლობა საქართველოში,5.0,0,open,სამშენებლო კომპანია
პრიმერა გოლფ ენდ რეზიდენც,,0,not_found,
იქსორი წერეთელზე,5.0,0,open,სამშენებლო კომპანია
კალატოზი,4.8,0,open,სამშენებლო კომპანია
კომპანია რეზიდ ჰოლდინგ ჯიემბიეიჩ–ის ფილიალი საქართველოში რეზიდ–თბილისი,5.0,0,found,სამშენებლო კომპანია
კონსოლი,,0,open,
მიქსორი,4.7,0,open,
ოცნების სახლი,,0,open,სამშენებლო კომპანია
ფაივ პოინტს,5.0,0,found,სამშენებლო კომპანია
ფერი,5.0,0,found,სამშენებლო კომპანია
არქთრეიდი,5.0,0,open,
ემ.ბი.ჯი.,4.8,0,open,
ნიუ თაიმ,4.9,0,open,
ოდა,5.0,0,open,უძრავი ქონების დეველოპერი
საამშენებლო კომპანია ოდი,5.0,0,found,სამშენებლო კომპანია
სპეცჰიდრომშენი,5.0,0,found,სამშენებლო კომპანია
ჰორიზონს ჯგუფი,5.0,0,open,სამშენებლო კომპანია
ბაგრატიონი რეზიდენსი,4.3,0,open,
მართე უსაფრთხოდ,5.0,0,open,
Hualing International Special Economic Zone,4.6,0,open,
ბინარეა,5.0,0,found,სამშენებლო კომპანია
პლატინუმ ვაზისუბანი,5.0,0,found,სამშენებლო კომპანია
მაზა,,0,not_found,
სეუ გრუპ დეველოპმენტ კომპანი,3.6,9,found,
რეკან გრუპ ჯორჯია,5.0,0,open,სამშენებლო კომპანია
სანრაიზ დეველოპმენტი,5.0,0,found,სამშენებლო კომპანია
ატლანტ,,0,found,უძრავი ქონების დეველოპერი
მარდიჰაუსი,5.0,0,open,სამშენებლო კომპანია
დეველოპმენტ გრუპი,5.0,0,found,
